,Record ID,SchoolName,City,State,Borough,Zip Code,LastInspection,Permittee,InspectionDate,PTET,Site Type,Level,Code,ViolationDescription,LATITUDE,LONGITUDE,COUNCILDISTRICT,BIN,Public Status,Address,2021-2022 Segment Enrollment
0,40542839,"P.S. 127 MCKINLEY PARK, RALPH A. FABRIZIO SCHOOL ANNEX",Brooklyn,NY,Brooklyn,11228,2/2/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,7/28/2022,2530,FSE (Public School Cafeteria),,,,40.62412501,-74.01882585,43.0,3150481.0,Public,7805 7 AVENUE,260855
1,40736086,BAIS YITZHAK SCHOOL,Brooklyn,NY,Brooklyn,11219,2/15/2023,CONGREGATION KHAL CHASIDEI SKWERE - BAIS YITZAK YESHIVA,3/1/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",0.0,0.0,,,Private,1413 45 STREET,116725
2,40542116,P.S. 135 SHELDON A. BROOKNER,Brooklyn,NY,Brooklyn,11203,1/23/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,11/17/2022,2530,FSE (Public School Cafeteria),C,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,40.65363265,-73.93311442,41.0,3102005.0,Public,684 LINDEN BOULEVARD,260855
3,40542900,"PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE, LEARNING TO WORK YABC AT MONROE ACADEMY, THE METRO",Bronx,NY,Bronx,10472,3/9/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,3/9/2023,2530,FSE (Public School Cafeteria),C,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.83159438,-73.87891119,18.0,2027459.0,Public,1300 BOYNTON AVENUE,168582
4,40541560,"PS811M @ PS 149M, SUCCESS ACADEMY CHARTER-HARLEM 1",New York,NY,Manhattan,10026,1/31/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,8/1/2022,2530,FSE (Public School Cafeteria),C,04M,Live roaches in facility's food or non-food area.,40.80246372,-73.9467153,9.0,1051434.0,Public,34 WEST  118 STREET,152463
5,40542147,"P.S. 244 RICHARD R. GREEN, BROOKLYN SCIENCE AND ENGINEERING ACADEMY",Brooklyn,NY,Brooklyn,11203,1/23/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,7/19/2022,2530,FSE (Public School Cafeteria),C,04L,Evidence of mice or live mice in establishment's food or non-food areas.,40.64841318,-73.92597722,45.0,3104513.0,Public,5400 TILDEN AVENUE,260855
6,40541310,P.S. 183 DR. RICHARD R. GREEN,Far Rockaway,NY,Queens,11693,3/6/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,7/14/2022,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.58950028,-73.80536212,31.0,4303354.0,Public,245 BEACH   79 STREET,263898
7,50113383,BEDFORD STUYVESANT NEW BEGINNING CHARTER SCHOOL,Brooklyn,NY,Brooklyn,11206,3/9/2023,SLA MANAGEMENT INC,12/9/2021,2529,FSE (Private School Cafeteria - For Profit),,,,40.69467223,-73.93738968,36.0,3043017.0,Private,82 LEWIS AVENUE,116725
8,50082553,CHALLENGE PREPARATORY MIDDLE CHARTER SCHOOL,Far Rockaway,NY,Queens,11691,10/27/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,10/27/2022,2531,FSE (Private School Cafeteria),,,,40.60563956,-73.75141703,31.0,4297966.0,Private,1526 CENTRAL AVE,39686
9,50047517,ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,Jamaica,NY,Queens,11433,10/24/2022,ROCHDALE EARLY ADVANTAGE CHARTER SCHOOL,2/18/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),C,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,40.69221801,-73.78806942,27.0,4000000.0,Private,11051 GUY R BREWER BLVD,39686
10,40542973,P.S. 175 CITY ISLAND,Bronx,NY,Bronx,10464,7/19/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,4/11/2022,2530,FSE (Public School Cafeteria),,,,40.84386641,-73.78521707,13.0,2082444.0,Public,200 CITY ISLAND AVENUE,168582
11,41218279,CAMBRIA CENTER FOR THE GIFTED CHILD,Cambria Hts,NY,Queens,11411,1/13/2023,CAMBRIA ACADEMY GIFTED LTD,3/1/2021,2529,FSE (Private School Cafeteria - For Profit),,,,40.69102838,-73.72889899,27.0,4274720.0,Private,23310 LINDEN BOULEVARD,39686
12,50015686,GED PLUS - CITYWIDE,Brooklyn,NY,Brooklyn,11231,10/4/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,10/4/2022,2530,FSE (Public School Cafeteria),C,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,40.67891196,-74.00961898,38.0,3331865.0,Public,88 VISITATION PLACE,260855
13,40542774,INTERNATIONAL ART AND BUSINESS HS,Brooklyn,NY,Brooklyn,11203,3/22/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,8/3/2021,2530,FSE (Public School Cafeteria),C,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,40.65888574,-73.9424585,40.0,3107227.0,Public,600 KINGSTON AVENUE,260855
14,41171740,UNITED TALMUDICAL ACADEMY,Brooklyn,NY,Brooklyn,11249,3/22/2023,TALMUDICAL ACAD UNITED,6/24/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7035344,-73.96047471,33.0,3060113.0,Private,590 BEDFORD AVENUE,116725
15,40543628,P.S. 022 GRANITEVILLE,,NY,Staten Island,10303,1/17/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,4/7/2022,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.62536101,-74.15096989,49.0,5107239.0,Public,1860 FOREST AVENUE,61797
